Gridpacks with displaced vertex                                                                                                                                       width           ctau (mm)
HeavyNeutrino_lljj_M-4_V-0.00244948974278_e_pre2017_leptonFirst_NLO                                                                                            3.412082e-15            57.831836    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00244948974278_mu_onshell_pre2017_leptonFirst_NLO                                                                                   3.412082e-15            57.831836    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00244948974278_mu_pre2017_leptonFirst_NLO                                                                                           3.412082e-15            57.831836    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00282842712475_e_onshell_pre2017_leptonFirst_NLO                                                                                    4.549515e-15            43.373188    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00282842712475_e_pre2017_leptonFirst_NLO                                                                                            4.549515e-15            43.373188    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00282842712475_mu_onshell_pre2017_leptonFirst_NLO                                                                                   4.549515e-15            43.373188    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00282842712475_mu_pre2017_leptonFirst_NLO                                                                                           4.549515e-15            43.373188    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00316227766017_e_onshell_pre2017_leptonFirst_NLO                                                                                    5.686862e-15            34.698744    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00316227766017_e_pre2017_leptonFirst_NLO                                                                                            5.686862e-15            34.698744    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00316227766017_mu_onshell_pre2017_leptonFirst_NLO                                                                                   5.686862e-15            34.698744    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00316227766017_mu_pre2017_leptonFirst_NLO                                                                                           5.686862e-15            34.698744    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.004472135955_e_onshell_pre2017_leptonFirst_NLO                                                                                      1.137357e-14            17.349607    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.004472135955_e_pre2017_leptonFirst_NLO                                                                                              1.137357e-14            17.349607    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.004472135955_mu_onshell_pre2017_leptonFirst_NLO                                                                                     1.137357e-14            17.349607    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.004472135955_mu_pre2017_leptonFirst_NLO                                                                                             1.137357e-14            17.349607    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00547722557505_e_onshell_pre2017_leptonFirst_NLO                                                                                    1.706044e-14            11.566347    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00547722557505_e_pre2017_leptonFirst_NLO                                                                                            1.706044e-14            11.566347    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00547722557505_mu_onshell_pre2017_leptonFirst_NLO                                                                                   1.706044e-14            11.566347    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00547722557505_mu_pre2017_leptonFirst_NLO                                                                                           1.706044e-14            11.566347    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00707106781187_e_onshell_pre2017_leptonFirst_NLO                                                                                    2.843397e-14             6.939832    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00707106781187_e_pre2017_leptonFirst_NLO                                                                                            2.843397e-14             6.939832    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00707106781187_mu_onshell_pre2017_leptonFirst_NLO                                                                                   2.843397e-14             6.939832    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00707106781187_mu_pre2017_leptonFirst_NLO                                                                                           2.843397e-14             6.939832    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00836660026534_e_onshell_pre2017_leptonFirst_NLO                                                                                    3.980816e-14             4.956948    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00836660026534_e_pre2017_leptonFirst_NLO                                                                                            3.980816e-14             4.956948    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00836660026534_mu_onshell_pre2017_leptonFirst_NLO                                                                                   3.980816e-14             4.956948    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.00836660026534_mu_pre2017_leptonFirst_NLO                                                                                           3.980816e-14             4.956948    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.0141421356237_e_onshell_pre2017_leptonFirst_NLO                                                                                     1.137358e-13             1.734959    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.0141421356237_e_pre2017_leptonFirst_NLO                                                                                             1.137358e-13             1.734959    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.0141421356237_mu_onshell_pre2017_leptonFirst_NLO                                                                                    1.137358e-13             1.734959    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.0141421356237_mu_pre2017_leptonFirst_NLO                                                                                            1.137358e-13             1.734959    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.01_e_onshell_pre2017_leptonFirst_NLO                                                                                                5.686862e-14             3.469874    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.01_e_pre2017_leptonFirst_NLO                                                                                                        5.686862e-14             3.469874    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.01_mu_onshell_pre2017_leptonFirst_NLO                                                                                               5.686862e-14             3.469874    (beforeApril2018)
HeavyNeutrino_lljj_M-4_V-0.01_mu_pre2017_leptonFirst_NLO                                                                                                       5.686862e-14             3.469874    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.00244948974278_e_onshell_pre2017_leptonFirst_NLO                                                                                    1.042015e-14            18.937056    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.00244948974278_mu_onshell_pre2017_leptonFirst_NLO                                                                                   1.042015e-14            18.937056    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.00282842712475_e_onshell_pre2017_leptonFirst_NLO                                                                                    1.389357e-14            14.202755    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.00282842712475_mu_onshell_pre2017_leptonFirst_NLO                                                                                   1.389357e-14            14.202755    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.00316227766017_e_onshell_pre2017_leptonFirst_NLO                                                                                    1.736699e-14            11.362186    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.00316227766017_mu_onshell_pre2017_leptonFirst_NLO                                                                                   1.736699e-14            11.362186    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.004472135955_e_onshell_pre2017_leptonFirst_NLO                                                                                      3.473382e-14             5.681119    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.004472135955_mu_onshell_pre2017_leptonFirst_NLO                                                                                     3.473382e-14             5.681119    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.00547722557505_e_onshell_pre2017_leptonFirst_NLO                                                                                    5.210014e-14             3.787456    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.00547722557505_mu_onshell_pre2017_leptonFirst_NLO                                                                                   5.210014e-14             3.787456    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.00707106781187_e_onshell_pre2017_leptonFirst_NLO                                                                                    8.683483e-14             2.272440    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.00707106781187_mu_onshell_pre2017_leptonFirst_NLO                                                                                   8.683483e-14             2.272440    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.00836660026534_e_onshell_pre2017_leptonFirst_NLO                                                                                    1.215674e-13             1.623190    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.00836660026534_mu_onshell_pre2017_leptonFirst_NLO                                                                                   1.215674e-13             1.623190    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.01_2l_onshell_pre2017_NLO                                                                                                           3.475555e-13             0.567757    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.01_e_onshell_pre2017_NLO                                                                                                            1.736699e-13             1.136219    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.01_e_onshell_pre2017_leptonFirst_NLO                                                                                                1.736699e-13             1.136219    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.01_mu_onshell_pre2017_NLO                                                                                                           1.736699e-13             1.136219    (beforeApril2018)
HeavyNeutrino_lljj_M-5_V-0.01_mu_onshell_pre2017_leptonFirst_NLO                                                                                               1.736699e-13             1.136219    (beforeApril2018)
HeavyNeutrino_lljj_M-6_V-0.00244948974278_e_onshell_pre2017_leptonFirst_NLO                                                                                    2.595841e-14             7.601658    (beforeApril2018)
HeavyNeutrino_lljj_M-6_V-0.00244948974278_mu_onshell_pre2017_leptonFirst_NLO                                                                                   2.595841e-14             7.601658    (beforeApril2018)
HeavyNeutrino_lljj_M-6_V-0.00282842712475_e_onshell_pre2017_leptonFirst_NLO                                                                                    3.461128e-14             5.701233    (beforeApril2018)
HeavyNeutrino_lljj_M-6_V-0.00282842712475_mu_onshell_pre2017_leptonFirst_NLO                                                                                   3.461128e-14             5.701233    (beforeApril2018)
HeavyNeutrino_lljj_M-6_V-0.00316227766017_e_onshell_pre2017_leptonFirst_NLO                                                                                    4.326410e-14             4.560986    (beforeApril2018)
HeavyNeutrino_lljj_M-6_V-0.00316227766017_mu_onshell_pre2017_leptonFirst_NLO                                                                                   4.326410e-14             4.560986    (beforeApril2018)
HeavyNeutrino_lljj_M-6_V-0.00547722557505_e_onshell_pre2017_leptonFirst_NLO                                                                                    1.297917e-13             1.520336    (beforeApril2018)
HeavyNeutrino_lljj_M-6_V-0.00547722557505_mu_onshell_pre2017_leptonFirst_NLO                                                                                   1.297917e-13             1.520336    (beforeApril2018)
HeavyNeutrino_lljj_M-6_V-0.00707106781187_e_onshell_pre2017_leptonFirst_NLO                                                                                    2.163202e-13             0.912199    (beforeApril2018)
HeavyNeutrino_lljj_M-6_V-0.00707106781187_mu_onshell_pre2017_leptonFirst_NLO                                                                                   2.163202e-13             0.912199    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00244948974278_e_onshell_pre2017_leptonFirst_NLO                                                                                    5.613554e-14             3.515188    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00244948974278_e_pre2017_leptonFirst_NLO                                                                                            5.613554e-14             3.515188    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00244948974278_mu_onshell_pre2017_leptonFirst_NLO                                                                                   5.613554e-14             3.515188    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00244948974278_mu_pre2017_leptonFirst_NLO                                                                                           5.613554e-14             3.515188    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00282842712475_e_onshell_pre2017_leptonFirst_NLO                                                                                    7.484614e-14             2.636435    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00282842712475_e_pre2017_leptonFirst_NLO                                                                                            7.484614e-14             2.636435    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00282842712475_mu_onshell_pre2017_leptonFirst_NLO                                                                                   7.484614e-14             2.636435    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00282842712475_mu_pre2017_leptonFirst_NLO                                                                                           7.484614e-14             2.636435    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00316227766017_e_onshell_pre2017_leptonFirst_NLO                                                                                    9.355752e-14             2.109151    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00316227766017_e_pre2017_leptonFirst_NLO                                                                                            9.355752e-14             2.109151    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00316227766017_mu_onshell_pre2017_leptonFirst_NLO                                                                                   9.355752e-14             2.109151    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00316227766017_mu_pre2017_leptonFirst_NLO                                                                                           9.355752e-14             2.109151    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.004472135955_e_onshell_pre2017_leptonFirst_NLO                                                                                      1.871152e-13             1.054575    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.004472135955_e_pre2017_leptonFirst_NLO                                                                                              1.871152e-13             1.054575    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.004472135955_mu_onshell_pre2017_leptonFirst_NLO                                                                                     1.871152e-13             1.054575    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.004472135955_mu_pre2017_leptonFirst_NLO                                                                                             1.871152e-13             1.054575    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00547722557505_e_onshell_pre2017_leptonFirst_NLO                                                                                    2.806730e-13             0.703049    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00547722557505_e_pre2017_leptonFirst_NLO                                                                                            2.806730e-13             0.703049    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00547722557505_mu_onshell_pre2017_leptonFirst_NLO                                                                                   2.806730e-13             0.703049    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00547722557505_mu_pre2017_leptonFirst_NLO                                                                                           2.806730e-13             0.703049    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00707106781187_e_onshell_pre2017_leptonFirst_NLO                                                                                    4.677881e-13             0.421830    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00707106781187_e_pre2017_leptonFirst_NLO                                                                                            4.677881e-13             0.421830    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00707106781187_mu_onshell_pre2017_leptonFirst_NLO                                                                                   4.677881e-13             0.421830    (beforeApril2018)
HeavyNeutrino_lljj_M-7_V-0.00707106781187_mu_pre2017_leptonFirst_NLO                                                                                           4.677881e-13             0.421830    (beforeApril2018)
HeavyNeutrino_lljj_M-8_V-0.00244948974278_e_onshell_pre2017_leptonFirst_NLO                                                                                    1.095850e-13             1.800675    (beforeApril2018)
HeavyNeutrino_lljj_M-8_V-0.00244948974278_mu_onshell_pre2017_leptonFirst_NLO                                                                                   1.095850e-13             1.800675    (beforeApril2018)
HeavyNeutrino_lljj_M-8_V-0.00282842712475_e_onshell_pre2017_leptonFirst_NLO                                                                                    1.461129e-13             1.350510    (beforeApril2018)
HeavyNeutrino_lljj_M-8_V-0.00282842712475_mu_onshell_pre2017_leptonFirst_NLO                                                                                   1.461129e-13             1.350510    (beforeApril2018)
HeavyNeutrino_lljj_M-8_V-0.00316227766017_e_onshell_pre2017_leptonFirst_NLO                                                                                    1.826426e-13             1.080399    (beforeApril2018)
HeavyNeutrino_lljj_M-8_V-0.00316227766017_mu_onshell_pre2017_leptonFirst_NLO                                                                                   1.826426e-13             1.080399    (beforeApril2018)
HeavyNeutrino_lljj_M-8_V-0.004472135955_e_onshell_pre2017_leptonFirst_NLO                                                                                      3.652817e-13             0.540205    (beforeApril2018)
HeavyNeutrino_lljj_M-8_V-0.004472135955_mu_onshell_pre2017_leptonFirst_NLO                                                                                     3.652817e-13             0.540205    (beforeApril2018)
HeavyNeutrino_lljj_M-8_V-0.00547722557505_e_onshell_pre2017_leptonFirst_NLO                                                                                    5.479218e-13             0.360137    (beforeApril2018)
HeavyNeutrino_lljj_M-8_V-0.00547722557505_mu_onshell_pre2017_leptonFirst_NLO                                                                                   5.479218e-13             0.360137    (beforeApril2018)
HeavyNeutrino_lljj_M-9_V-0.00244948974278_e_onshell_pre2017_leptonFirst_NLO                                                                                    1.977878e-13             0.997670    (beforeApril2018)
HeavyNeutrino_lljj_M-9_V-0.00244948974278_mu_onshell_pre2017_leptonFirst_NLO                                                                                   1.977878e-13             0.997670    (beforeApril2018)
HeavyNeutrino_lljj_M-9_V-0.00282842712475_e_onshell_pre2017_leptonFirst_NLO                                                                                    2.637170e-13             0.748253    (beforeApril2018)
HeavyNeutrino_lljj_M-9_V-0.00282842712475_mu_onshell_pre2017_leptonFirst_NLO                                                                                   2.637170e-13             0.748253    (beforeApril2018)
HeavyNeutrino_lljj_M-9_V-0.00316227766017_e_onshell_pre2017_leptonFirst_NLO                                                                                    3.296476e-13             0.598600    (beforeApril2018)
HeavyNeutrino_lljj_M-9_V-0.00316227766017_mu_onshell_pre2017_leptonFirst_NLO                                                                                   3.296476e-13             0.598600    (beforeApril2018)
HeavyNeutrino_lljj_M-9_V-0.004472135955_e_onshell_pre2017_leptonFirst_NLO                                                                                      6.592940e-13             0.299300    (beforeApril2018)
HeavyNeutrino_lljj_M-9_V-0.004472135955_mu_onshell_pre2017_leptonFirst_NLO                                                                                     6.592940e-13             0.299300    (beforeApril2018)
HeavyNeutrino_trilepton_M-10_V-0.00244948974278_e_onshell_pre2017_NLO                                                                                          3.354336e-13             0.588274    (beforeApril2018)
HeavyNeutrino_trilepton_M-10_V-0.00244948974278_mu_onshell_pre2017_NLO                                                                                         3.354336e-13             0.588274    (beforeApril2018)
HeavyNeutrino_trilepton_M-10_V-0.00282842712475_e_onshell_pre2017_NLO                                                                                          4.472484e-13             0.441202    (beforeApril2018)
HeavyNeutrino_trilepton_M-10_V-0.00282842712475_mu_onshell_pre2017_NLO                                                                                         4.472484e-13             0.441202    (beforeApril2018)
HeavyNeutrino_trilepton_M-10_V-0.00316227766017_e_onshell_pre2017_NLO                                                                                          5.590602e-13             0.352962    (beforeApril2018)
HeavyNeutrino_trilepton_M-10_V-0.00316227766017_mu_onshell_pre2017_NLO                                                                                         5.590602e-13             0.352962    (beforeApril2018)
HeavyNeutrino_trilepton_M-10_V-0.004472135955_e_onshell_pre2017_NLO                                                                                            1.118108e-12             0.176483    (beforeApril2018)
HeavyNeutrino_trilepton_M-10_V-0.004472135955_mu_onshell_pre2017_NLO                                                                                           1.118108e-12             0.176483    (beforeApril2018)
HeavyNeutrino_trilepton_M-10_V-0.01_2l_onshell_pre2017_NLO                                                                                                     1.118155e-11             0.017648    (beforeApril2018)
HeavyNeutrino_trilepton_M-10_V-0.01_e_onshell_pre2017_NLO                                                                                                      5.590501e-12             0.035297    (beforeApril2018)
HeavyNeutrino_trilepton_M-10_V-0.01_mu_onshell_pre2017_NLO                                                                                                     5.590501e-12             0.035297    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.00282842712475_e_onshell_pre2017_NLO                                                                                           4.436378e-18         44479.295471    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.00316227766017_e_onshell_pre2017_NLO                                                                                           5.545316e-18         35584.440613    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.004472135955_e_onshell_pre2017_NLO                                                                                             1.109070e-17         17792.111218    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.004472135955_mu_onshell_pre2017_NLO                                                                                            1.109070e-17         17792.111218    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.00547722557505_e_onshell_pre2017_NLO                                                                                           1.663614e-17         11861.343309    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.00547722557505_mu_onshell_pre2017_NLO                                                                                          1.663614e-17         11861.343309    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.00707106781187_e_onshell_pre2017_NLO                                                                                           2.772688e-17          7116.811119    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.00707106781187_mu_onshell_pre2017_NLO                                                                                          2.772688e-17          7116.811119    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.00836660026534_e_onshell_pre2017_NLO                                                                                           3.881765e-17          5083.434156    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.00836660026534_mu_onshell_pre2017_NLO                                                                                          3.881765e-17          5083.434156    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.01_e_onshell_pre2017_NLO                                                                                                       5.545316e-17          3558.444061    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.01_mu_onshell_pre2017_NLO                                                                                                      5.545316e-17          3558.444061    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.59587618054_e_onshell_pre2017_NLO                                                                                              1.968986e-13             1.002176    (beforeApril2018)
HeavyNeutrino_trilepton_M-1_V-0.59587618054_mu_onshell_pre2017_NLO                                                                                             1.968986e-13             1.002176    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.00244948974278_e_onshell_pre2017_NLO                                                                                         1.361690e-16          1449.132827    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.00244948974278_mu_onshell_pre2017_NLO                                                                                        1.361690e-16          1449.132827    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.00282842712475_e_onshell_pre2017_NLO                                                                                         1.815591e-16          1086.847026    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.00282842712475_mu_onshell_pre2017_NLO                                                                                        1.815591e-16          1086.847026    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.00316227766017_e_onshell_pre2017_NLO                                                                                         2.269480e-16           869.480973    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.00316227766017_mu_onshell_pre2017_NLO                                                                                        2.269480e-16           869.480973    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.004472135955_e_onshell_pre2017_NLO                                                                                           4.539051e-16           434.731771    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.004472135955_mu_onshell_pre2017_NLO                                                                                          4.539051e-16           434.731771    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.00547722557505_e_onshell_pre2017_NLO                                                                                         6.808431e-16           289.827374    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.00547722557505_mu_onshell_pre2017_NLO                                                                                        6.808431e-16           289.827374    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.00707106781187_e_onshell_pre2017_NLO                                                                                         1.134739e-15           173.896348    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.00707106781187_mu_onshell_pre2017_NLO                                                                                        1.134739e-15           173.896348    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.00836660026534_e_onshell_pre2017_NLO                                                                                         1.588639e-15           124.211333    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.00836660026534_mu_onshell_pre2017_NLO                                                                                        1.588639e-15           124.211333    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.0141421356237_e_onshell_pre2017_NLO                                                                                          4.539051e-15            43.473177    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.0141421356237_mu_onshell_pre2017_NLO                                                                                         4.539051e-15            43.473177    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.0173205080757_e_onshell_pre2017_NLO                                                                                          6.808431e-15            28.982737    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.0173205080757_mu_onshell_pre2017_NLO                                                                                         6.808431e-15            28.982737    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.01_e_onshell_pre2017_NLO                                                                                                     2.269480e-15            86.948097    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.1_V-0.01_mu_onshell_pre2017_NLO                                                                                                    2.269480e-15            86.948097    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.00316227766017_e_onshell_pre2017_NLO                                                                                         5.413196e-16           364.529509    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.00316227766017_mu_onshell_pre2017_NLO                                                                                        5.413196e-16           364.529509    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.004472135955_e_onshell_pre2017_NLO                                                                                           1.082640e-15           182.264620    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.004472135955_mu_onshell_pre2017_NLO                                                                                          1.082640e-15           182.264620    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.00547722557505_e_onshell_pre2017_NLO                                                                                         1.623944e-15           121.510944    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.00547722557505_mu_onshell_pre2017_NLO                                                                                        1.623944e-15           121.510944    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.00707106781187_e_onshell_pre2017_NLO                                                                                         2.706579e-15            72.906414    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.00707106781187_mu_onshell_pre2017_NLO                                                                                        2.706579e-15            72.906414    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.00836660026534_e_onshell_pre2017_NLO                                                                                         3.789213e-15            52.075977    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.00836660026534_mu_onshell_pre2017_NLO                                                                                        3.789213e-15            52.075977    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.0141421356237_e_onshell_pre2017_NLO                                                                                          1.082640e-14            18.226462    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.0141421356237_mu_onshell_pre2017_NLO                                                                                         1.082640e-14            18.226462    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.0173205080757_e_onshell_pre2017_NLO                                                                                          1.623944e-14            12.151094    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.0173205080757_mu_onshell_pre2017_NLO                                                                                         1.623944e-14            12.151094    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.01_e_onshell_pre2017_NLO                                                                                                     5.413196e-15            36.452951    (beforeApril2018)
HeavyNeutrino_trilepton_M-2.5_V-0.01_mu_onshell_pre2017_NLO                                                                                                    5.413196e-15            36.452951    (beforeApril2018)
HeavyNeutrino_trilepton_M-20_V-0.01_e_onshell_pre2017_NLO                                                                                                      1.838493e-10             0.001073    (beforeApril2018)
HeavyNeutrino_trilepton_M-20_V-0.01_mu_onshell_pre2017_NLO                                                                                                     1.838493e-10             0.001073    (beforeApril2018)
HeavyNeutrino_trilepton_M-2_V-0.00244948974278_e_onshell_pre2017_NLO                                                                                           1.064635e-16          1853.470606    (beforeApril2018)
HeavyNeutrino_trilepton_M-2_V-0.00244948974278_mu_onshell_pre2017_NLO                                                                                          1.064635e-16          1853.470606    (beforeApril2018)
HeavyNeutrino_trilepton_M-2_V-0.01_2l_onshell_pre2017_NLO                                                                                                      3.550760e-15            55.573164    (beforeApril2018)
HeavyNeutrino_trilepton_M-2_V-0.01_e_onshell_pre2017_NLO                                                                                                       1.774411e-15           111.207025    (beforeApril2018)
HeavyNeutrino_trilepton_M-2_V-0.01_mu_onshell_pre2017_NLO                                                                                                      1.774411e-15           111.207025    (beforeApril2018)
HeavyNeutrino_trilepton_M-2_V-0.1054524236_e_onshell_pre2017_NLO                                                                                               1.973175e-13             1.000048    (beforeApril2018)
HeavyNeutrino_trilepton_M-2_V-0.1054524236_mu_onshell_pre2017_NLO                                                                                              1.973175e-13             1.000048    (beforeApril2018)
HeavyNeutrino_trilepton_M-2_V-0.1_2l_onshell_pre2017_NLO                                                                                                       3.550760e-13             0.555732    (beforeApril2018)
HeavyNeutrino_trilepton_M-3_V-0.00244948974278_e_onshell_pre2017_NLO                                                                                           8.091457e-16           243.870749    (beforeApril2018)
HeavyNeutrino_trilepton_M-3_V-0.00244948974278_mu_onshell_pre2017_NLO                                                                                          8.091457e-16           243.870749    (beforeApril2018)
HeavyNeutrino_trilepton_M-3_V-0.00282842712475_e_onshell_pre2017_NLO                                                                                           1.078865e-15           182.902372    (beforeApril2018)
HeavyNeutrino_trilepton_M-3_V-0.00282842712475_mu_onshell_pre2017_NLO                                                                                          1.078865e-15           182.902372    (beforeApril2018)
HeavyNeutrino_trilepton_M-3_V-0.00316227766017_e_onshell_pre2017_NLO                                                                                           1.348589e-15           146.321057    (beforeApril2018)
HeavyNeutrino_trilepton_M-3_V-0.00316227766017_mu_onshell_pre2017_NLO                                                                                          1.348589e-15           146.321057    (beforeApril2018)
HeavyNeutrino_trilepton_M-3_V-0.004472135955_e_onshell_pre2017_NLO                                                                                             2.697178e-15            73.160528    (beforeApril2018)
HeavyNeutrino_trilepton_M-3_V-0.004472135955_mu_onshell_pre2017_NLO                                                                                            2.697178e-15            73.160528    (beforeApril2018)
HeavyNeutrino_trilepton_M-3_V-0.00547722557505_e_onshell_pre2017_NLO                                                                                           4.045730e-15            48.774132    (beforeApril2018)
