Gridpacks with displaced vertex                                                                                                                                       width           ctau (mm)
HeavyNeutrino_lljj_M-20_V-2.73495886624e-05_mu_Dirac_massiveAndCKM_LO                                                                                          6.544421e-16           301.519367                     
HeavyNeutrino_lljj_M-20_V-8.64869932418e-06_e_massiveAndCKM_LO                                                                                                 1.311125e-16          1505.020253                     
HeavyNeutrino_lljj_M-20_V-8.64869932418e-06_mu_massiveAndCKM_LO                                                                                                1.312195e-16          1503.793018                     
HeavyNeutrino_lljj_M-2_V-0.00973652915571_e_massiveAndCKM_LO                                                                                                   9.734048e-16           202.718302                     
HeavyNeutrino_lljj_M-2_V-0.00973652915571_mu_massiveAndCKM_LO                                                                                                  9.625601e-16           205.002231                     
HeavyNeutrino_lljj_M-2_V-0.0110905365064_e_massiveAndCKM_LO                                                                                                    1.262963e-15           156.241290                     
HeavyNeutrino_lljj_M-2_V-0.0110905365064_mu_massiveAndCKM_LO                                                                                                   1.248896e-15           158.001121                     
HeavyNeutrino_lljj_M-2_V-0.0137840487521_e_Dirac_cc_massiveAndCKM_LO                                                                                           9.806643e-16           201.217652                     
HeavyNeutrino_lljj_M-2_V-0.0137840487521_e_Dirac_massiveAndCKM_LO                                                                                              9.806643e-16           201.217652                     
HeavyNeutrino_lljj_M-2_V-0.0137840487521_mu_Dirac_cc_massiveAndCKM_LO                                                                                          9.678176e-16           203.888592                     
HeavyNeutrino_lljj_M-2_V-0.0137840487521_mu_Dirac_massiveAndCKM_LO                                                                                             9.678176e-16           203.888592                     
HeavyNeutrino_lljj_M-2_V-0.0157162336455_e_Dirac_cc_massiveAndCKM_LO                                                                                           1.274852e-15           154.784216                     
HeavyNeutrino_lljj_M-2_V-0.0157162336455_e_Dirac_massiveAndCKM_LO                                                                                              1.274852e-15           154.784216                     
HeavyNeutrino_lljj_M-2_V-0.0157162336455_mu_Dirac_cc_massiveAndCKM_LO                                                                                          1.258162e-15           156.837488                     
HeavyNeutrino_lljj_M-2_V-0.0157162336455_mu_Dirac_massiveAndCKM_LO                                                                                             1.258162e-15           156.837488                     
HeavyNeutrino_lljj_M-2_V-0.0217715410571_e_massiveAndCKM_LO                                                                                                    4.867041e-15            40.543519                     
